kanton_name,num_new_companies,num_new_companies_percent,num_employees,num_employees_percent,year,kanton
Freiburg,1249,3.1973172230186364,1698,3.2215834708862205,2016,FR
Solothurn,938,2.4011877943886955,1197,2.271045591667141,2016,SO
Neuenburg,884,2.2629531026008602,1069,2.0281935985732447,2016,NE
Jura,271,0.6937333606389514,339,0.7,2016,JU
Basel-Stadt,1014,2.595740323571575,1438,2.7282903599142427,2016,BS
Basel-Landschaft,1036,2.6,1289,2.5,2016,BL
Aargau,2482,6.353676018840876,3275,6.213595917050866,2016,AG
Zürich,7275,18.62328486586115,10016,19.003168459597397,2016,ZH
Glarus,134,0.4,190,0.36048342724875254,2016,GL
Schaffhausen,356,0.9113250051198033,447,0.8480846946325915,2016,SH
Appenzell Aus.,302,0.7730903133319681,370,0.7019940425370444,2016,AR
Appenzell Inn.,85,0.21759164448085194,102,0.19352268199669873,2016,AI
St. Gallen,2081,5.327155437231211,2893,5.488834500161269,2016,SG
Graubünden,875,2.2399139873028875,1147,2.1761815318648376,2016,GR
Thurgau,1044,2.6725373745648167,1327,2.5176921471531295,2016,TG
Luzern,1618,4.1419209502355105,2285,4.335287532965261,2016,LU
Uri,103,0.26366987507679707,143,0.27131121103458744,2016,UR
Schwyz,921,2.3,1296,2.4588764300757013,2016,SZ
Obwalden,182,0.46590210935900067,220,0.4174018631301345,2016,OW
Nidwalden,196,0.5017407331558468,282,0.5350332972849906,2016,NW
Zug,1410,3.6094613966823674,2019,3.8306107348170073,2016,ZG
Tessin,2858,7.316199057956174,3991,7.572049253419849,2016,TI
Waadt,4358,11.00671818962469,5627,10.4,2017,VD
Wallis,1603,4.1,2130,3.9562399004439164,2017,VS
Genf,2909,7.3470727888063845,4112,7.637586136443842,2017,GE
Bern,3593,9.074607263726827,4726,8.778023365961477,2017,BE
Freiburg,1239,3.129262009395363,1570,2.9161017106558442,2017,FR
Solothurn,959,2.4220841541647724,1272,2.3625996025186202,2017,SO
Neuenburg,913,2.305904935091175,1075,1.9966938464681738,2017,NE
Jura,281,0.7097034904278426,375,0.6965211092330839,2017,JU
Basel-Stadt,1069,2.699904025862504,1462,2.7155036311967162,2017,BS
Basel-Landschaft,1018,2.571096630802647,1429,2.6,2017,BL
Aargau,2358,5.9,3112,5.780196511822285,2017,AG
Zürich,7255,18.32348335606405,10154,18.85993424840729,2017,ZH
Glarus,144,0.36369146840430366,205,0.38076487304741913,2017,GL
Schaffhausen,346,0.8738697782492297,470,0.8729731235721316,2017,SH
Appenzell Aus.,259,0.6,356,0.6,2017,AR
Appenzell Inn.,71,0.17932009900489973,88,0.163450286966697,2017,AI
St. Gallen,1992,5.0310653129262,2733,5.076245844090715,2017,SG
Graubünden,861,2.1745719048340657,1140,2.1174241720685747,2017,GR
Thurgau,1187,2.997928979138253,1513,2.8102305020524154,2017,TG
Luzern,1598,4.0359650452088704,2444,4.6,2017,LU
Uri,102,0.2576147901197151,178,0.33061535318263713,2017,UR
Schwyz,947,2.3917765317977473,1250,2.321737030776946,2017,SZ
Obwalden,191,0.48239632267515276,256,0.47549174390311855,2017,OW
Nidwalden,191,0.48239632267515276,267,0.49592302977395575,2017,NW
Zug,1503,3.79602970146992,2228,4.1382640836568285,2017,ZG
Tessin,2647,6.6853563671263325,3667,6.81104775348725,2017,TI
Waadt,4102,10.401927222010904,5539,10.315479737783075,2018,VD
Wallis,1564,3.96602003296564,2118,3.94442789034565,2018,VS
Genf,3161,8.01572207429948,4483,8.4,2018,GE
Bern,3704,9.392671484721694,4722,8.793951132300357,2018,BE
Freiburg,1300,3.2965639660200328,1750,3.2,2018,FR
Solothurn,879,2.228984404716622,1165,2.169621573301549,2018,SO
Neuenburg,868,2.201090401927222,1053,1.9,2018,NE
Jura,271,0.6872067959934068,362,0.674165673420739,2018,JU
Basel-Stadt,1015,2.5738557119310257,1346,2.506704410011919,2018,BS
Basel-Landschaft,1023,2.594142259414226,1338,2.4918057210965436,2018,BL
Aargau,2176,5.517940915430455,2976,5.542312276519666,2018,AG
Zürich,7424,18.82591606440979,10187,18.97161799761621,2018,ZH
Glarus,143,0.36262203626220363,177,0.3296334922526818,2018,GL
Schaffhausen,325,0.8241409915050082,457,0.8,2018,SH
Appenzell Aus.,272,0.6897426144288069,350,0.6518176400476758,2018,AR
Appenzell Inn.,71,0.1800431089134018,94,0.1750595947556615,2018,AI
St. Gallen,2019,5.119817421072651,2725,5.074865911799761,2018,SG
Graubünden,891,2.2,1168,2.1752085816448155,2018,GR
Thurgau,1059,2.6854317230886267,1400,2.6072705601907034,2018,TG
Luzern,1541,3.907696208951439,2163,4.028233015494637,2018,LU
Uri,102,0.2586534804108026,136,0.2532777115613826,2018,UR
Schwyz,1006,2.5510333460124253,1334,2.484356376638856,2018,SZ
Obwalden,176,0.44630404463040446,240,0.4469606674612634,2018,OW
Nidwalden,213,0.5401293267402054,303,0.564287842669845,2018,NW
Zug,1585,4.01927222010904,2480,4.618593563766389,2018,ZG
Tessin,2545,6.453657918093064,3630,6.760280095351609,2018,TI
Waadt,4531,10.634652396376097,5930,10.39129444337358,2019,VD
Wallis,1748,4.102708538703468,2344,4.107452643384092,2019,VS
Genf,3276,7.689057879171949,4519,7.918762156763102,2019,GE
Bern,3895,9.141904896024036,5106,8.947377643822174,2019,BE
Freiburg,1470,3.4502182791156173,2041,3.5764978008306025,2019,FR
Solothurn,1037,2.4339294934985682,1268,2.221949638144637,2019,SO
Neuenburg,935,2.1945265924987094,1118,1.959100706187464,2019,NE
Jura,301,0.706473266676055,387,0.6781502444495068,2019,JU
Basel-Stadt,1113,2.6123081256161105,1487,2.60570907880211,2019,BS
Basel-Landschaft,1035,2.5,1325,2.321832232288363,2019,BL
Aargau,2305,5.410036145143877,3088,5.411183345891671,2019,AG
Zürich,8150,19.12876120734169,11078,19.41226978814376,2019,ZH
Glarus,165,0.38726939867624277,193,0.4,2019,GL
Schaffhausen,366,0.8590339388818476,456,0.7990607531498063,2019,SH
Appenzell Aus.,307,0.7205557902642821,377,0.6606269823190285,2019,AR
Appenzell Inn.,96,0.22532037741163213,132,0.2313070601223124,2019,AI
St. Gallen,2090,4.905412383232409,2843,4.981863423694955,2019,SG
Graubünden,953,2.23677416326339,1205,2.1115530867226244,2019,GR
Thurgau,1199,2.814157630380697,1499,2.6267369933586835,2019,TG
Luzern,1811,4.2505750363798525,2628,4.605113287889673,2019,LU
Uri,112,0.2628737736469042,145,0.25408730089193404,2019,UR
Schwyz,1116,2.619349387410224,1451,2.6,2019,SZ
Obwalden,197,0.46237619114678685,249,0.4363292270489074,2019,OW
Nidwalden,223,0.5234004600291039,304,0.5327071687665376,2019,NW
Zug,1635,3.83748767779186,2444,4.282685264688874,2019,ZG
Tessin,2540,5.961601652349435,3450,6.045525435014983,2019,TI
